,chosun_word_before,chosun_word_after,kyunghyang_word_before,kyunghyang_word_after
178,협의,개정,가까이,정치인
179,가능성,한국,불신,대변인
180,변화,희망,역할,촉구
181,체포,미국,명문화,행위
182,부여,민생,부여,목소리
183,즉시,일각,수사,설득
184,절차,전문,고발,행태
185,,승복,진행,교수
186,논평,윤희숙,모습,혼란
187,법원,지도자,의무,혁명
188,확대,위원회,시작,회복
189,집회,재판,폐지,장관
190,자정,대변인,경찰,당내
191,우크라이나,불안,정책,국무총리
192,중국,예정,사법,과거
193,주자,충격,위자료,개헌안
194,핵심,외면,비상계엄,걱정
195,이야기,국회의원,쟁점,기본권
196,법안,신임,펀드,전신
197,경찰,열망,대응,야당
198,개선,침해,계몽,의미
199,소득대체율,촉구,참여,소속
200,예고,주자들,반성,도구
201,정신,비전,자리,소득
202,사죄,후보자,검토,극우
203,동의,준비,조사,역할
204,공개,명령,약속,준비
205,존중,국민의힘,본회의,중대
206,위원,수준,존재,위원장
207,6명,자세,운운,집중
208,시대,6,불법,광화문
209,사진,지지자,미래,사실
210,공단,정도,대변,발언
211,비상,전쟁,완전,포함
212,절반,국익,개헌,원내
213,의문,역사,보호,상대
214,정치인,근무,석고대죄,사죄
215,안정,지지자들,위기,반발
216,법률자문위원장,고통,처장,제기
217,실망,의견,통화,약속
218,소추,과거,상속세,도리
219,행사,100%,초선,SNS
220,말씀,인사들,각하,유력
221,경고,혈세,안심,대법원
222,고갈,제기,사죄,정치권
223,계획,논란,유기,당선
224,지역,사실,민주,새누리당
225,정치권,유승민,RN,그동안
226,권리,배반,기업,심사
227,선동,원칙,지적,권리당원
228,지지층,차출,농성,시작
229,대회,대결,용서,희망
230,회장,공약,헌법재판관,눈높이
231,학살,운영,외면,분노
232,대가,제시,임명,사람들
233,당선,지사,불안감,어려움
234,절제,기업,사안,위원회
235,회의,지역,이해,공동체
236,기초,찬성,먼저,무시
237,공정,관저,참석,봉사
238,인사들,사법,모수개혁,조기
239,무당층,의사,거리,총리
240,운동,소속,자유,검토
241,석고대죄,변수,1년,6
242,각하,행사,체포,자유
243,수괴,이야기,핵무장론,의지
244,출마,세상,다수,수호
245,정쟁,최고,전신,재정
246,동조,총리,세금,명령
247,방안,만큼,표현,황우여
248,해소,거론,마련,인터뷰
249,소득,나경원,규정,진출
250,윤상현,중심,조치,통과
251,AI,광화문,정의,경쟁
252,혁신,부담,국정협의회,사법부
253,단체,언급,회견,서울
254,진실,이준석,관저,회의
255,시위,해산,가능,동의
256,태도,선고,옹호,국민들
257,권력,공개,이견,기준
258,부부,가슴,의지,대회
259,4,지지도,기준,시민
260,원칙,텐트,제시,사건
261,원내수석부대표,개헌안,절반,충성
262,세상,동지,6명,무당층
263,장관,수석대변인,계엄령,진영
264,기간,문재인,일반,기금
265,펀드,대비,광장,지역
266,만족,본선,가능성,연대
267,자유,야당,단죄,핵심
268,처리,차출론,포함,관저
269,우리나라,다수,사실,지명
270,의료,반영,경제,머리
271,서명,헌법재판소,기만,사랑
272,최선,좌절,임계점,존중
273,수령액,자리,투표,피해
274,12,서울,원내수석대변인,분들
275,1년,부족,문제의식,기자들
276,나경원,의장,투쟁,원칙
277,각종,사이,국민의힘,거부
278,위반,감동,최우선,배신
279,기록,정치인,유지,대선일
280,최고,도리,국민연금,예정
281,입국,세금,교수,제시
282,지혜,분위기,기회,충격
283,예정,12,방향,부담
284,실현,변화,협의,재현
285,초선,계획,30%,일상
286,사회,고민,공포감,유일
287,노후,원내,재판소,본선
288,전신,대화,강도,라디오
289,증언,중진,김대식,광범위
290,헌법재판관,그동안,환영,행사
291,유기,당원들,의사,예상
292,조정,배신,얘기,체제
293,특혜,압도,차원,취지
294,출신,존중,권리,세대
295,반영,혁명,체제,결단
296,당원,현금,추경,사법
297,일상,차원,질서,규정
298,보험료율,안정,용납,출신
299,직결,위법,동의,시점
300,검토,가능,삭감,전망
301,여론조사,학살,도움,목사
302,세력,소통,토론,대선후보
303,배반,의미,범죄혐의자,감옥
304,처장,22일,개정,영원
305,내전,강화,학살,자리
306,재산,천명,최고,시간
307,대다수,교수,AI,공개
308,무죄,주권자,개선,여의도
309,우두머리,정리,체감,반복
310,항고,납득,의문,훼손
311,현실,대응,13인,겨냥
312,추가,임명,관심,선포
313,해체,부응,법안,언론
314,위헌,피해,구조,동조
315,안보,그간,재정,구성
316,존경,출신,지정,거론
317,국민의힘,등록,발생,선관위
318,압도,중도,현실,정신
319,설명,지급,협력,보험료
320,선거관리위원회,내달,예정,변경
321,북한,당대표,언급,정책
322,민주,공감대,기자회견,문재인
323,박형수,저항,신중,구체적
324,정보,수용,현장,우롱
325,외면,노무현,민생,개정안
326,의심,가입,파괴,구조
327,완화,인용,정서,달러
328,찬성,예상,기관,주체
329,충격,인식,부담,헌법재판소
330,모습,25일,대다수,역량
331,결국,탈당,평가,영향력
332,현행범,상대,집회,수용
333,인상,치열,40%,수사
334,불안감,생활,행태,포인트
335,가입자,분산,위협,효과
336,지원,발언,지분,얘기
337,측면,세대,주도,실망
338,수습,카르텔,인사,압도
339,대응,성장,결단,번째
340,청년,움직임,전국적,파괴
341,공방,기적,보험료율,후보자
342,사항,프라이머리,당론,안정
343,내부,사법부,무리,대구
344,대변인,상태,노력,배제
345,국회의원,유권자,계획,당장
346,해제,선대위,지원,평화
347,규정,스트레스,최상목,혁신
348,제시,안보,상식,주자들
349,침해,재산,최고위원회의,명분
350,자들,권한대행,총칼,행동
351,법률가들,진보,침해,운영
352,판사,민주,해석,거리
353,민주주,비교,이야기,위협
354,이름,위험,수렴,만큼
355,자국,역할,목격,적극
356,감세,포기,예상,대화
357,김문수,경북,혁신당,외면
358,의회,약자,계기,조직
359,계기,머리,정신,양자
360,방지,경쟁,청년,논의
361,중대,포퓰리즘,출석,절차
362,정의,진출자,국면,지지자들
363,36%,분들,고심,행보
364,포기,선관위,설명,안팎
365,중요,요동,기자들,총선
366,퇴직,민주주,위헌,남용
367,유승민,차이,정권,위법
368,의견,메시지,동조,피고인
369,선거법,진짜,재판,고통
370,경제,탈락,청구,추대
371,주재,사죄,의구심,보장
372,저서,보험료,기초,종식
373,소통,구도,대선주자들,위반
374,가슴,빅텐트,찬반,의원들
375,재난,위반,존중,쇄신
376,혁명,실망,지시,좌절
377,용서,부부,전략,차원
378,감시,공감,토론회,방치
379,국민연금,비상,충성,분위기
380,불의,새누리당,의심,선거일
381,회복력,수호,영향,6월
382,의무,권리,논란,승복
383,북한군,훼손,마음,자랑
384,선포,당적,마지막,처리
385,민주주의,창당,조성,해결
386,무릎,능력,미래세대,처벌
387,공감,재현,입법,세상
388,권한,오픈프라이머리,방안,갈망
389,완전,최선,자체,검찰
390,가중,중대,소진,인용
391,김미애,눈물,12월,여부
392,언어,총장,중심,개개인
393,부합,결선,국민펀드,존재
394,외교,정국,선고기일,출간
395,이익,기자회견,서한,존경
396,접점,법원,온라인,신청
397,도전,우원식,페이스북,합리적
398,비상계엄,차례,사이,불편
399,러시아,집권,멕시코,고양시
400,찬반,레이스,지사,28일
401,임계점,보복,지지율,중진
402,설득,납부,참가자,고민
403,편성,도구,사항,기소
404,명분,우롱,인권,재판부
405,사법,여당,희망,일각
406,분노,절차,복무,당명
407,과거,대립,취소,채택
408,선량,헌신,형태,소통
409,만큼,개헌특위,연도,덕분
410,예방,회장,주권,겸손
411,충성,퍼스트,정상적,방식
412,근거,확장,참가자들,근무
413,개헌특위,언론,선포,공당
414,조작,전통,탄핵반대,완전
415,대법원,리더십,진실,확인
416,당내,파괴,장외,해소
417,본회의,책무,바탕,가치
418,변호사,처리,전망,일대
419,장동혁,평가,세대,존엄
420,구속,적용,책임감,가입
421,상속,이젠,헌정질서,민심
422,부탁,취지,건강,법원
423,독립성,아픔,재판부,염치
424,보선,분노,대립,환영
425,위원회,선동,수습,시민들
426,교수,기본권,자제,자격
427,견제,복귀,정쟁,본회의
428,지정,4명,서울,미국
429,자체,강조,재산,경향신문
430,폐지,세계,복원,내각
431,제외,본지,확인,연설
432,최악,저지,공수처,발전
433,민간,국적,세상,최소
434,선언,민주적,수호,우리나라
435,투자,구성,합리적,상처
436,중단,움직,안건,방향
437,억압,한마디,모임,재외
438,주도,비율,가지,건강
439,동참,광범위,지속,대결
440,책무,보호,선출,결정문
441,정책위,우선,대통령실,법치
442,인원,지원금,눈치,거대
443,운영,바다,공인,조치
444,강조,14일,25만,직무
445,기관,이해,배반,인식
446,승리,민주공화국,상처,한계
447,다수당,흐름,국회의원들,정치적
448,산하,싸움,4개월,반탄
449,반성,진실,공동,공복
450,사안,무기,담화,빅텐트
451,취소,어려움,유린,법률
452,덕분,우량주,가중,전환
453,파괴,부결,의미,총리실
454,농성,사무총장,시설,실행
455,위협,펀드,상호,감사
456,의지,용서,전두환이,용서
457,수준,프레임,눈높이,국힘
458,시민,공격,변호인단,예의
459,최우선,김동연,불복,지지도
460,비교,초월,우크라이나,회견
461,RN,권리당원,SNS,이익
462,오해,가량,국가기관,희생
463,방문,안위,사퇴,작업
464,의혹,내부,여부,이름
465,재판부,수급자,추경호,모욕
466,통감,결단,결집,마지막
467,검사,야기,당장,해체
468,자신,눈높이,연대,꼼수
469,2007년,설득,번째,보호
470,의존,이탈표,위임,영향
471,우선,중단,중도,입장문
472,중도층,이념,내란수괴,실현
473,질서,회의,수괴,측면
474,거대,영향력,재판관,세계
475,조성,국면,극우화,활동
476,압박,개개인,고민,집권
477,단죄,통감,사전,상실
478,국익,격차,순간,인물
479,위법,적극,상태,표현
480,가치,흥행,골프,여당
481,김기현,저력,경거망동,비명
482,영역,유능,생활,자세
483,제기,협력,고갈,에너지
484,대통령실,화합,본인,망상
485,마련,경고,부동산,위헌
486,10명,발전,노후,저력
487,기강,사기,위원회,주목
488,간담회,포함,분들,영상
489,한국갤럽,마지막,우두머리,편승
490,김대식,국민연금,김문기,운명
491,증거,표심,10명,국무위원
492,불참,배제,종식,다수
493,이해,사전,안중,정국
494,합리,공적,입국,사무처
495,破棄自判,추대,커뮤니티,불신
496,퇴장,윤상현,공포,방안
497,제출,신동욱,르펜,진실
498,종식,개정안,희생,능력
499,필요성,국민들,지역,감사문
500,그동안,인생,증명,본격화
501,진행,사건,선언,국회의원
502,명모닝,주말,교류,채널
503,당일,구축,원인,전진
504,인식,불행,명령,중임
505,전달,60%,홍준표,피해자
506,저항권,당내,검색,국익
507,채택,대구,중도보수,재도약
508,합법적,중도층,후보자,차례
509,지도자,대구시장,청년들,투자
510,차이,정쟁,진정,약자
511,당제,결심,극우세력,납득
512,대국민,관리,근거,풀이
513,한미동맹,위협,불법행위,레이스
514,불가,찬반,요구사항,노무현
515,중심,참패,간판,지사
516,세계,23일,수행,확산
517,불법,오픈,인권위장,논란
518,투쟁,활동,사법부,민주적
519,행보,상처,성과,쿠데타
520,자유민주주,지난달,운영,바탕
521,인공지능,무당,대체,지위
522,사명,환송,재정부,의혹
523,명심,당원동지,총구,취임
524,총장,대선후보,유리,경기
525,상법,근무제,남발,계엄군
526,선례,반감,혁신,친윤석열계
527,부처,죗값,집중,8명
528,형평,복원,가입자,소추
529,세미나,모욕,내정,중단
530,주관,기간,변수,민주공화국
531,무시,검찰,비상,당부
532,김상훈,대법원장,강성,조건
533,지급,지대,얼굴,확장
534,개인적,대처,부합,몰두
535,안내서,황우여,만족,노욕
536,견지,대로,관타나모,최우선
537,부통령,3일,말씀,반박
538,공수처장,편성,무대,공감
539,기회,제도,미안,사무총장
540,미래세대,기준,장악,변호인단
541,한국행,컷오프,문구,후퇴
542,성과,선호,음모,의협
543,건강,공개적,극렬,심판대
544,법리,한숨,상임위,도움
545,성공,라디오,규모,AI
546,서울,배경,편지,재판관
547,김천,사각지대,진짜,이정현
548,지방,용산,인상,국면
549,추경,정치인들,1명,서지영
550,공산,원로,마비,괴리
551,청년인재,골프,양심,가결
552,고통,재난,지난달,뉴스타파
553,부결,수위,헌정,발상
554,단식,선거관리위원회,4일,옹호
555,전현희,방지,처리,조금
556,가속화,관세,구치소,문화
557,현명,완화,공단,최선
558,이견,재건,해산,호소
559,해산,공포,생중계,대의원
560,불복,직무대행,2007년,임무
561,법조인,지방,시대,공세
562,감액,활용,협의회,해석
563,대체,의무,예산,경찰
564,광역,조직,여론전,수준
565,테두리,재판소,무상,절연
566,비자,파이,거론,4명
567,탄핵소추안,청와대,오픈프라이머리,대체
568,지원금,위기감,책무,관측
569,외국인,극우,지도자,유권자
570,원점,선거일,왜곡,감정
571,훼손,전현희,무책임,불리
572,환기,지혜,해소,인사
573,지분,거부,최소화,전략
574,예비비,일꾼,제기,대리인단
575,안정적,의뢰,육성,무소속
576,기자회견,외연,걸림돌,인정
577,결사,사진,움직,외교학
578,회의장,이틀간,사명,이틀
579,일방,전당대회,얼마,소식
580,극복,외교학,가결,부족
581,통신,무시,적용,경험
582,서해,제거,통보,김종인
583,4일,조건,급여,오만
584,거론,적합,편향,반영
585,9명,호소,감사원,모집
586,경북,대법,항소심,60~70%
587,낭비,상징,시민,추종
588,오동운,계기,반영,총칼
589,적자,처신,대선주자,상승
590,공수처,부여,정파,출연
591,건전,김성태,혁명,대다수
592,행태,합산,여론,개입
593,이사,비상계엄,,당원들
594,12일,비명,구호,최고
595,포격전,방해,공직,SBS
596,목격,심정,범죄,표심
597,골프,효과,불만,유감
598,위로,행세,주자,상태
599,임기,자랑,리스크,피청구
600,처신,종식,반응,사례
601,주인,29일,줄탄핵,1인
602,회견,기득권,기자간담회,기업
603,정반대,유정복,화답,제명
604,줄탄핵,예산,부탁,임명
605,진짜,후보자들,수사대상,공감대
606,직역연금,자유한국당,제주,요청
607,통일부,처절,가치,허가
608,본인,트럼프,영원,충돌
609,신경,일본,현행,협력
610,당정,공수처,사전투표,개인
611,헌정질서,항의,구로구청장,이용
612,즉시항고,공직자,지출,연정
613,1999년,혁신,전만,의총
614,헌정,대다수,겁박,축배
615,모임,옹호,협상,혼돈
616,긴급,이철우,해외,정치화
617,표리부동,관측,마무리,1위
618,도약,범죄,가세,피의자
619,1%,작동,제외,자존심
620,사람들,경실련,무력화,열망
621,전체회의,주변,OHCHR,월권
622,응원,실현,차이,고개
623,절차적,성문,105일,기만
624,법치,김경수,위반,그해
625,발간,역선택,위법,맞수
626,비상대책위원회,걱정,발전,부결
627,프라이머리,의혹,평화,디테일
628,보상,바람,대책,관심사
629,한국당,발령,주재,직원들
630,재선거,구상,골자,모독
631,사고,참정,양보,유승민
632,대립,조작,보상,복귀
633,비출,첫날,최악,건설
634,계엄령,공세,철퇴,네거티브
635,구국,방어,국힘,초래
636,취지,심화,총장,연출
637,발의,갈망,유일,저서
638,협조,겨울,여성,칭찬
639,김종인,본인,평등,2일
640,진퇴,기류,발목,찬탄
641,감사원,AI,완화,가혹
642,권위주,훈장,상법,소외
643,예의,영광,질문,호의적
644,특별,편안,이해관계,시대적
645,수니파,대회,소리,확보
646,광장,판사,해결,중도
647,민생고,확인,배우자,선명
648,일상적,돌입,새누리당,운운
649,안철수,안심,염원,결심
650,당장,기득,중도층,대구시장
651,자리,스님,국무총리,비용
652,수급자,재의,산수,방문
653,6일,자유진영,명시,경청
654,공격,단죄,민주공화국,비대위원장
655,얘기,전력,평균,수단
656,지난달,국난,용기,교체
657,13명,논쟁,기강,지지세
658,오세훈,조국혁신당,역량,의심
659,상대,번영,명심,윤심
660,입틀막,특별,돌입,자산
661,본색,인정,결의안,3
662,광화문,열매,원내수석부대표,군사
663,적극,정상,검사,현행
664,권익,입장문,장치,지원
665,카톡,원내대책회의,풀이,건전
666,포함,신청,4명,목적
667,대표가,오세훈,출신,참정
668,위험,공복,가입기간,부합
669,협박,현안,대인,파렴치
670,목도,검토,시리아,법리
671,단체장,18%,긴장,투표권
672,대로,구분,박탈,중임제
673,냉정,시간,대가,범죄
674,체제,리스크,국민들,절반
675,인정,4일,형법,선동
676,언급,6월,식품위생법,박민영
677,정서,수괴,배경막,우선
678,시점,유일,목사,2022년
679,서류,원인,특별,대응
680,선거일,인상,직전,혜택
681,청년들,시절,10억,찬탄파
682,평화,주문,말들,철회
683,강요,과반,협박,저지
684,국민들,파기,과실,지급
685,유용원,평화,차선,치열
686,수호,연대,물론,인내
687,재외,압축,하루,속도
688,정면,얼마,하나하나,중앙
689,사실,박수영,해이,이틀간
690,후보들,현실적,비대,상대적
691,약속,간담회,셈법,여정
692,혈세,신설,실패,포고령
693,분권,의문,맞불,성공
694,비상시국,퇴임,정지,세금
695,비난,거리,도피,강화
696,이중성,먼저,성윤서씨,성문
697,물론,공동체,진퇴,어불성설
698,거부,일상,의료,대안
699,혐의,18세,총력,특위
700,변경,주도,국고채무부담,노후
701,감소,20일,국가작용,고발
702,최상목,주인공,외교,신속
703,투입,조정,붕괴,사고
704,확인,에너지,산불예방,3년
705,박대출,해결,구도,성향
706,구치소,도움,과거사,본인
707,합산,두려움,해법,스스로
708,기억,특검법,십상,사진
709,형사,결집,지역화폐,유정복
710,주호영,위안,반대표,서울고법
711,제주,불참,도출,겸허
712,장병,공직,리더십,직속
713,풀이,사욕,현명,감당
714,조금,자문,흐름,규칙
715,4명,여야,상정,브리핑
716,실천,지명,초래,5%
717,공화국,손해,상임위원회,법안
718,VOA,발상,오동훈,합류
719,표명,선심,통상전쟁,고용
720,일각,증원,복지위,10일
721,비극,도전,회의실,캠프
722,박수영,공표,밀착,기록
723,평가,요청,언론,지난주
724,의석수,현행,공개적,계파
725,중간,득표,박상수,사실상
726,모면,이정현,보루,완전국민경선
727,언론,반발,의회,압박
728,대화,사업,내란공동체,덤터기
729,양당,정몽준,외교정책들,외교
730,대검찰청,접촉,행보,반국가세력
731,폭동,포고령,온몸,진짜
732,발동,출마설,여가위,태도
733,확보,고개,불식,자들
734,답변,개방,세이브코리아,청년세대
735,항의,이슈,교체,세월
736,처벌,25만,물리,나경원
737,극단,기록,조국혁신당,표명
738,공산주의자,취소,폭거,김동연
739,비대위원장,사안,타협,연속
740,교체,중임,상호이해,낯짝
741,주제,양향자,3%,실패
742,사나이,실장,국민대회,시나리오
743,리얼미터,의식,외부,위임
744,50%,영장주의,고위공직자범죄수사처,기자간담회
745,유감,김윤덕,나락,해제
746,언사,통합위원회,부총리,불참
747,결의안,포인트,민주적,협상
748,후보자,응징,85.10%,근무제
749,연평도,불출마,동참,수괴
750,사태,공방,연말,보수정당
751,공개적,상생,취득,강요
752,북콘서트,우파,연계,은퇴
753,이념,대미,홈페이지,19일
754,박탈,법률,이송,반복적
755,표현,맞대결,일본,전원
756,그간,실태,회복력,미안
757,보수,감정,처단,무당
758,주말,민간,7명,사용
759,500만,장병,노종면,차지
760,지원법,노동부,2022년,탈락
761,비화,인격,좌절감,민주
762,하락,의향,자중,공직자
763,수행,준수,헌법기관,대진표
764,김부겸,동행,지지도,일본
765,회원들,카드,악화,선진국
766,엔비디아,가치,초기,불가능
767,강화,교체,폭동,취재
768,화합,대선준비위원장,부당,제도
769,간접적,완수,징계,참석
770,문모닝,김상욱,요청,의결
771,실익,분야,대리인들,국민경선
772,직선,방명록,행정부,일선
773,부대변인,50년,국제,천명
774,성향,실천,광화문,정몽준
775,방해,핵심,일정,해산
776,치하,덕분,양측,리더십
777,표결,지방선거,군대,동지
778,불법적,도피처,조금,지도자
779,배당,겨냥,실제,관리
780,유혈,정청래,장외집회,이탈표
781,먼저,형성,불법계엄,예비
782,정국,성공,국회의원,헌정질서
783,자세,이익,박대출,죗값
784,조기,박근혜,뿌리,기대치
785,축사,반복,도리,골자
786,예외,재편,진전,검사
787,생활,소망,국제기구,말싸움
788,감안,인터뷰,초청,26일
789,특검법,선포,국익,부탁
790,108명,운동,우위,반감
791,불편,강국,사고,합의체
792,도리,자제,불참,확대
793,소수당,청원,5당,주력
794,심사,발의,평안,직시
795,발족,협조,보고서,참정권
796,홍준표,종부세,정국,응답
797,차단,컨설팅,사람들,참사
798,날씨,비대위,진종오,현실
799,배출,관망,시정잡배,책임감
800,반응,지적,자극적,재난
801,행동,공식적,자극,대구시당
802,개정,감수,감당,YTN
803,걸음,부원장,제공자,시선
804,삭제,부탁,선고일,주도
805,정식,허용,전원일치,오래전
806,존재,대안,법관,1월
807,체포영장,이미지,브리핑,활용
808,상임위원,유리,배낙호,국민통합
809,유튜브,협치,대외,근로
810,모수개혁안,랜도,인터넷,박근혜
811,크레딧,국민경선,70.21%,10명
812,성장,문제고,기본소득,정보
813,장악,유보적,빈곤,이승만
814,포로들,반민주주의,친명,보수층
815,판사들,인공지능,방명록,특혜
816,다원화,원죄,기조,의식
817,존립,재표결,개헌안,안중
818,추경안,공무원,경고,배수진
819,르펜,법안들,국경너머,비상
820,통째,일정,주역,대선주자
821,성명서,사임,표결,이양수
822,조성방안,영남대,6일,기여
823,강국도약,차질,책임자,보도
824,블랙홀,치유,9일,설명
825,경정,추락,재원,후보직
826,3,최대,취급,출사표
827,유럽,미래통합당,지지층,성과
828,칭찬,자생력,무죄,파기환송
829,전말,5년,공식,퇴행
830,보루,색깔,극복,최대
831,공유,애초,심우정,이야기
832,환자,태도,탄핵심판,수위
833,주체,조선,자녀,성원
834,트럼프,법제처,사건,방어
835,실패,휴가,개입,3강
836,유념,공식화,생산,진보당
837,애초,소수,지자체,자주적
838,해이,설정,정치세력,기간
839,한일,후보도,시위,응원
840,2조,사상,경악,표본
841,연쇄,직무,기획재정위원회,난립
842,영속성,저주,패배,지속
843,자유통,314억,자본시장법,작동
844,버팀목,경기,반대파,진보
845,여의도연구원,반도체,경제사령탑,억제
846,고전,용의,예비후보,내란수괴
847,긍정적,기원,엉터리,재산
848,심사숙고,투표일,반발,수권정당
849,시도지사협의회,지분,원내수석,냉정
850,시험대,브리핑,문화,대전협
851,강명구,양심적,시점,어게인
852,아버지,시동,심리,드라마
853,노총,폭발적,외신들,10년
854,강성,불파불립,고생,유튜브
855,총탄,정의,듯이,폭동
856,노동부,질서,벼랑,활성화
857,형태,자중,사정,공표
858,본격화,여부,단체,흐름
859,법률,연설자,울분,가슴
860,마은혁,상정,지급,정상
861,공정성,공식,고개,이재명이
862,즉각적,11시,세미나,사유재산
863,색깔,이용구,방치,상응
864,헌신,김민석,존속,원인
865,봄철,성금,5곳,감동
866,경범죄,총부리,회귀,결기
