,before_word,before_count,after_word,after_count
230,헌법재판관,7.0,눈높이,9.0
231,외면,7.0,분노,9.0
232,임명,7.0,사람들,9.0
233,불안감,7.0,어려움,9.0
234,사안,7.0,위원회,9.0
235,이해,7.0,공동체,9.0
236,먼저,7.0,무시,9.0
237,참석,7.0,봉사,9.0
238,모수개혁,7.0,조기,9.0
239,거리,7.0,총리,9.0
240,자유,7.0,검토,9.0
241,1년,7.0,6,9.0
242,체포,6.0,자유,9.0
243,핵무장론,6.0,의지,9.0
244,다수,6.0,수호,9.0
245,전신,6.0,재정,9.0
246,세금,6.0,명령,9.0
247,표현,6.0,황우여,8.0
248,마련,6.0,인터뷰,8.0
249,규정,6.0,진출,8.0
250,조치,6.0,통과,8.0
251,정의,6.0,경쟁,8.0
252,국정협의회,6.0,사법부,8.0
253,회견,6.0,서울,8.0
254,관저,6.0,회의,8.0
255,가능,6.0,동의,8.0
256,옹호,6.0,국민들,8.0
257,이견,6.0,기준,8.0
258,의지,6.0,대회,8.0
259,기준,6.0,시민,8.0
260,제시,6.0,사건,8.0
261,절반,6.0,충성,8.0
262,6명,6.0,무당층,8.0
263,계엄령,6.0,진영,8.0
264,일반,6.0,기금,8.0
265,광장,6.0,지역,8.0
266,가능성,6.0,연대,8.0
267,단죄,6.0,핵심,8.0
268,포함,6.0,관저,8.0
269,사실,6.0,지명,8.0
270,경제,6.0,머리,8.0
271,기만,6.0,사랑,8.0
272,임계점,6.0,존중,8.0
273,투표,6.0,피해,8.0
274,원내수석대변인,6.0,분들,8.0
275,문제의식,6.0,기자들,8.0
276,투쟁,6.0,원칙,8.0
277,국민의힘,6.0,거부,8.0
278,최우선,6.0,배신,8.0
279,유지,6.0,대선일,8.0
280,국민연금,6.0,예정,8.0
281,교수,6.0,제시,8.0
282,기회,6.0,충격,8.0
283,방향,6.0,부담,8.0
284,협의,6.0,재현,7.0
285,30%,6.0,일상,7.0
286,공포감,6.0,유일,7.0
287,재판소,6.0,본선,7.0
288,강도,6.0,라디오,7.0
289,김대식,6.0,광범위,7.0
290,환영,6.0,행사,7.0
291,의사,6.0,예상,7.0
292,얘기,6.0,체제,7.0
293,차원,6.0,취지,7.0
294,권리,6.0,세대,7.0
295,체제,6.0,결단,7.0
296,추경,6.0,사법,7.0
297,질서,6.0,규정,7.0
298,용납,6.0,출신,7.0
299,동의,6.0,시점,7.0
300,삭감,6.0,전망,7.0
301,도움,6.0,목사,7.0
302,토론,5.0,대선후보,7.0
303,범죄혐의자,5.0,감옥,7.0
304,개정,5.0,영원,7.0
305,학살,5.0,자리,7.0
306,최고,5.0,시간,7.0
307,AI,5.0,공개,7.0
308,개선,5.0,여의도,7.0
309,체감,5.0,반복,7.0
310,의문,5.0,훼손,7.0
311,13인,5.0,겨냥,7.0
312,관심,5.0,선포,7.0
313,법안,5.0,언론,7.0
314,구조,5.0,동조,7.0
315,재정,5.0,구성,7.0
316,지정,5.0,거론,7.0
317,발생,5.0,선관위,7.0
318,현실,5.0,정신,7.0
319,협력,5.0,보험료,7.0
320,예정,5.0,변경,7.0
321,언급,5.0,정책,7.0
322,기자회견,5.0,문재인,7.0
323,신중,5.0,구체적,7.0
324,현장,5.0,우롱,6.0
325,민생,5.0,개정안,6.0
326,파괴,5.0,구조,6.0
327,정서,5.0,달러,6.0
328,기관,5.0,주체,6.0
329,부담,5.0,헌법재판소,6.0
330,대다수,5.0,역량,6.0
331,평가,5.0,영향력,6.0
332,집회,5.0,수용,6.0
333,40%,5.0,수사,6.0
334,행태,5.0,포인트,6.0
335,위협,5.0,효과,6.0
336,지분,5.0,얘기,6.0
337,주도,5.0,실망,6.0
338,인사,5.0,압도,6.0
339,결단,5.0,번째,6.0
340,전국적,5.0,파괴,6.0
341,보험료율,5.0,후보자,6.0
342,당론,5.0,안정,6.0
343,무리,5.0,대구,6.0
344,노력,5.0,배제,6.0
345,계획,5.0,당장,6.0
346,지원,5.0,평화,6.0
347,최상목,5.0,혁신,6.0
348,상식,5.0,주자들,6.0
349,최고위원회의,5.0,명분,6.0
350,총칼,5.0,행동,6.0
351,침해,5.0,운영,6.0
352,해석,5.0,거리,6.0
353,이야기,5.0,위협,6.0
354,수렴,5.0,만큼,6.0
355,목격,5.0,적극,6.0
356,예상,5.0,대화,6.0
357,혁신당,5.0,외면,6.0
358,계기,5.0,조직,6.0
359,정신,5.0,양자,6.0
360,청년,5.0,논의,6.0
361,출석,5.0,절차,6.0
362,국면,5.0,지지자들,6.0
363,고심,5.0,행보,6.0
364,설명,5.0,안팎,6.0
365,기자들,5.0,총선,6.0
366,위헌,5.0,남용,6.0
367,정권,5.0,위법,6.0
368,동조,5.0,피고인,6.0
369,재판,5.0,고통,6.0
370,청구,5.0,추대,6.0
371,의구심,5.0,보장,6.0
372,기초,5.0,종식,6.0
373,대선주자들,5.0,위반,6.0
374,찬반,5.0,의원들,6.0
375,존중,5.0,쇄신,6.0
376,지시,5.0,좌절,6.0
377,전략,5.0,차원,6.0
378,토론회,5.0,방치,6.0
379,충성,5.0,분위기,6.0
380,의심,5.0,선거일,6.0
381,영향,5.0,6월,6.0
382,논란,5.0,승복,6.0
383,마음,5.0,자랑,6.0
384,마지막,5.0,처리,6.0
385,조성,5.0,해결,6.0
386,미래세대,5.0,처벌,6.0
387,입법,5.0,세상,6.0
388,방안,5.0,갈망,6.0
389,자체,5.0,검찰,6.0
390,소진,4.0,인용,6.0
391,12월,4.0,여부,6.0
392,중심,4.0,개개인,5.0
393,국민펀드,4.0,존재,5.0
394,선고기일,4.0,출간,5.0
395,서한,4.0,존경,5.0
396,온라인,4.0,신청,5.0
397,페이스북,4.0,합리적,5.0
398,사이,4.0,불편,5.0
399,멕시코,4.0,고양시,5.0
400,지사,4.0,28일,5.0
401,지지율,4.0,중진,5.0
402,참가자,4.0,고민,5.0
403,사항,4.0,기소,5.0
404,인권,4.0,재판부,5.0
405,희망,4.0,일각,5.0
406,복무,4.0,당명,5.0
407,취소,4.0,채택,5.0
408,형태,4.0,소통,5.0
409,연도,4.0,덕분,5.0
410,주권,4.0,겸손,5.0
411,정상적,4.0,방식,5.0
412,참가자들,4.0,근무,5.0
413,선포,4.0,공당,5.0
414,탄핵반대,4.0,완전,5.0
415,진실,4.0,확인,5.0
416,장외,4.0,해소,5.0
417,바탕,4.0,가치,5.0
418,전망,4.0,일대,5.0
419,세대,4.0,존엄,5.0
420,책임감,4.0,가입,5.0
421,헌정질서,4.0,민심,5.0
422,건강,4.0,법원,5.0
423,재판부,4.0,염치,5.0
424,대립,4.0,환영,5.0
425,수습,4.0,시민들,5.0
426,자제,4.0,자격,5.0
427,정쟁,4.0,본회의,5.0
428,서울,4.0,미국,5.0
429,재산,4.0,경향신문,5.0
430,복원,4.0,내각,5.0
431,확인,4.0,연설,5.0
432,공수처,4.0,발전,5.0
433,세상,4.0,최소,5.0
434,수호,4.0,우리나라,5.0
435,합리적,4.0,상처,5.0
436,안건,4.0,방향,5.0
437,모임,4.0,재외,5.0
438,가지,4.0,건강,5.0
439,지속,4.0,대결,5.0
440,선출,4.0,결정문,5.0
441,대통령실,4.0,법치,5.0
442,눈치,4.0,거대,5.0
443,공인,4.0,조치,5.0
444,25만,4.0,직무,5.0
445,배반,4.0,인식,5.0
446,상처,4.0,한계,5.0
447,국회의원들,4.0,정치적,5.0
448,4개월,4.0,반탄,5.0
449,공동,4.0,공복,5.0
450,담화,4.0,빅텐트,5.0
451,유린,4.0,법률,5.0
452,가중,4.0,전환,5.0
453,의미,4.0,총리실,5.0
454,시설,4.0,실행,5.0
455,상호,4.0,감사,5.0
456,전두환이,4.0,용서,5.0
457,눈높이,4.0,국힘,5.0
458,변호인단,4.0,예의,5.0
459,불복,4.0,지지도,5.0
460,우크라이나,4.0,회견,5.0
461,SNS,4.0,이익,5.0
462,국가기관,4.0,희생,5.0
463,사퇴,4.0,작업,5.0
464,여부,4.0,이름,5.0
465,추경호,4.0,모욕,5.0
466,결집,4.0,마지막,5.0
467,당장,4.0,해체,5.0
468,연대,4.0,꼼수,5.0
469,번째,4.0,보호,5.0
470,위임,4.0,영향,5.0
471,중도,4.0,입장문,5.0
472,내란수괴,4.0,실현,5.0
473,수괴,4.0,측면,5.0
474,재판관,4.0,세계,5.0
475,극우화,4.0,활동,5.0
476,고민,4.0,집권,5.0
477,사전,4.0,상실,5.0
478,순간,4.0,인물,5.0
479,상태,4.0,표현,5.0
480,골프,4.0,여당,5.0
481,경거망동,4.0,비명,4.0
482,생활,4.0,자세,4.0
483,고갈,4.0,에너지,4.0
484,본인,4.0,망상,4.0
485,부동산,4.0,위헌,4.0
486,노후,4.0,저력,4.0
487,위원회,4.0,주목,4.0
488,분들,4.0,영상,4.0
489,우두머리,4.0,편승,4.0
490,김문기,3.0,운명,4.0
491,10명,3.0,국무위원,4.0
492,종식,3.0,다수,4.0
493,안중,3.0,정국,4.0
494,입국,3.0,사무처,4.0
495,커뮤니티,3.0,불신,4.0
496,공포,3.0,방안,4.0
497,르펜,3.0,진실,4.0
498,희생,3.0,능력,4.0
499,지역,3.0,감사문,4.0
500,증명,3.0,본격화,4.0
501,선언,3.0,국회의원,4.0
502,교류,3.0,채널,4.0
503,원인,3.0,전진,4.0
504,명령,3.0,중임,4.0
505,홍준표,3.0,피해자,4.0
506,검색,3.0,국익,4.0
507,중도보수,3.0,재도약,4.0
508,후보자,3.0,차례,4.0
509,청년들,3.0,투자,4.0
510,진정,3.0,약자,4.0
511,극우세력,3.0,납득,4.0
512,근거,3.0,풀이,4.0
513,불법행위,3.0,레이스,4.0
514,요구사항,3.0,노무현,4.0
515,간판,3.0,지사,4.0
516,수행,3.0,확산,4.0
517,인권위장,3.0,논란,4.0
518,사법부,3.0,민주적,4.0
519,성과,3.0,쿠데타,4.0
520,운영,3.0,바탕,4.0
521,대체,3.0,지위,4.0
522,재정부,3.0,의혹,4.0
523,총구,3.0,취임,4.0
524,유리,3.0,경기,4.0
525,남발,3.0,계엄군,4.0
526,혁신,3.0,친윤석열계,4.0
527,집중,3.0,8명,4.0
528,가입자,3.0,소추,4.0
529,내정,3.0,중단,4.0
530,변수,3.0,민주공화국,4.0
531,비상,3.0,당부,4.0
532,강성,3.0,조건,4.0
533,얼굴,3.0,확장,4.0
534,부합,3.0,몰두,4.0
535,만족,3.0,노욕,4.0
536,관타나모,3.0,최우선,4.0
537,말씀,3.0,반박,4.0
538,무대,3.0,공감,4.0
539,미안,3.0,사무총장,4.0
540,장악,3.0,변호인단,4.0
541,문구,3.0,후퇴,4.0
542,음모,3.0,의협,4.0
543,극렬,3.0,심판대,4.0
544,상임위,3.0,도움,4.0
545,규모,3.0,AI,4.0
546,편지,3.0,재판관,4.0
547,진짜,3.0,이정현,4.0
548,인상,3.0,국면,4.0
549,1명,3.0,서지영,4.0
550,마비,3.0,괴리,4.0
551,양심,3.0,가결,4.0
552,지난달,3.0,뉴스타파,4.0
553,헌정,3.0,발상,4.0
554,4일,3.0,옹호,4.0
555,처리,3.0,조금,4.0
556,구치소,3.0,문화,4.0
557,공단,3.0,최선,4.0
558,해산,3.0,호소,4.0
559,생중계,3.0,대의원,4.0
560,2007년,3.0,임무,4.0
561,시대,3.0,공세,4.0
562,협의회,3.0,해석,4.0
563,예산,3.0,경찰,4.0
564,여론전,3.0,수준,4.0
565,무상,3.0,절연,4.0
566,거론,3.0,4명,4.0
567,오픈프라이머리,3.0,대체,4.0
568,책무,3.0,관측,4.0
569,지도자,3.0,유권자,4.0
570,왜곡,3.0,감정,4.0
571,무책임,3.0,불리,4.0
572,해소,3.0,인사,4.0
573,최소화,3.0,전략,4.0
574,제기,3.0,대리인단,4.0
575,육성,3.0,무소속,4.0
576,걸림돌,3.0,인정,4.0
577,움직,3.0,외교학,4.0
578,사명,3.0,이틀,4.0
579,얼마,3.0,소식,4.0
580,가결,3.0,부족,4.0
581,적용,3.0,경험,4.0
582,통보,3.0,김종인,4.0
583,급여,3.0,오만,4.0
584,편향,3.0,반영,4.0
585,감사원,3.0,모집,4.0
586,항소심,3.0,60~70%,4.0
587,시민,3.0,추종,4.0
588,반영,3.0,총칼,4.0
589,대선주자,3.0,상승,4.0
590,정파,3.0,출연,4.0
591,혁명,3.0,대다수,4.0
592,여론,3.0,개입,4.0
593,,3.0,당원들,4.0
594,구호,3.0,최고,4.0
595,공직,3.0,SBS,4.0
596,범죄,3.0,표심,4.0
597,불만,3.0,유감,4.0
598,주자,3.0,상태,4.0
599,리스크,3.0,피청구,4.0
600,반응,3.0,사례,4.0
601,줄탄핵,3.0,1인,4.0
602,기자간담회,3.0,기업,4.0
603,화답,3.0,제명,4.0
604,부탁,3.0,임명,4.0
605,수사대상,3.0,공감대,4.0
606,제주,3.0,요청,4.0
607,가치,3.0,허가,4.0
608,영원,3.0,충돌,3.0
609,현행,3.0,협력,3.0
610,사전투표,3.0,개인,3.0
611,구로구청장,3.0,이용,3.0
612,지출,3.0,연정,3.0
613,전만,3.0,의총,3.0
614,겁박,3.0,축배,3.0
615,협상,3.0,혼돈,3.0
616,해외,3.0,정치화,3.0
617,마무리,3.0,1위,3.0
618,가세,3.0,피의자,3.0
619,제외,3.0,자존심,3.0
620,무력화,3.0,열망,3.0
621,OHCHR,3.0,월권,3.0
622,차이,3.0,고개,3.0
623,105일,3.0,기만,3.0
624,위반,3.0,그해,3.0
625,위법,3.0,맞수,3.0
626,발전,3.0,부결,3.0
627,평화,3.0,디테일,3.0
628,대책,3.0,관심사,3.0
629,주재,3.0,직원들,3.0
630,골자,3.0,모독,3.0
631,양보,3.0,유승민,3.0
632,보상,3.0,복귀,3.0
633,최악,3.0,건설,3.0
634,철퇴,3.0,네거티브,3.0
635,국힘,3.0,초래,3.0
636,총장,3.0,연출,3.0
637,유일,3.0,저서,3.0
638,여성,3.0,칭찬,3.0
639,평등,3.0,2일,3.0
640,발목,3.0,찬탄,3.0
641,완화,3.0,가혹,3.0
642,상법,3.0,소외,3.0
643,질문,3.0,호의적,3.0
644,이해관계,3.0,시대적,3.0
645,소리,3.0,확보,3.0
646,해결,3.0,중도,3.0
647,배우자,3.0,선명,3.0
648,새누리당,3.0,운운,3.0
649,염원,3.0,결심,3.0
650,중도층,3.0,대구시장,3.0
651,국무총리,3.0,비용,3.0
652,산수,3.0,방문,3.0
653,명시,3.0,경청,3.0
654,민주공화국,3.0,비대위원장,3.0
655,평균,3.0,수단,3.0
656,용기,3.0,교체,3.0
657,기강,3.0,지지세,3.0
658,역량,3.0,의심,3.0
659,명심,3.0,윤심,3.0
660,돌입,3.0,자산,3.0
661,결의안,3.0,3,3.0
662,원내수석부대표,3.0,군사,3.0
663,검사,3.0,현행,3.0
664,장치,3.0,지원,3.0
665,풀이,3.0,건전,3.0
666,4명,3.0,목적,3.0
667,출신,3.0,참정,3.0
668,가입기간,3.0,부합,3.0
669,대인,3.0,파렴치,3.0
670,시리아,3.0,법리,3.0
671,긴장,3.0,투표권,3.0
672,박탈,3.0,중임제,3.0
673,대가,3.0,범죄,3.0
674,국민들,3.0,절반,3.0
675,형법,3.0,선동,3.0
676,식품위생법,3.0,박민영,3.0
677,배경막,2.0,우선,3.0
678,목사,2.0,2022년,3.0
679,특별,2.0,대응,3.0
680,직전,2.0,혜택,3.0
681,10억,2.0,찬탄파,3.0
682,말들,2.0,철회,3.0
683,협박,2.0,저지,3.0
684,과실,2.0,지급,3.0
685,차선,2.0,치열,3.0
686,물론,2.0,인내,3.0
687,하루,2.0,속도,3.0
688,하나하나,2.0,중앙,3.0
689,해이,2.0,이틀간,3.0
690,비대,2.0,상대적,3.0
691,셈법,2.0,여정,3.0
692,실패,2.0,포고령,3.0
693,맞불,2.0,성공,3.0
694,정지,2.0,세금,3.0
695,도피,2.0,강화,3.0
696,성윤서씨,2.0,성문,3.0
697,진퇴,2.0,어불성설,3.0
698,의료,2.0,대안,3.0
699,총력,2.0,특위,3.0
700,국고채무부담,2.0,노후,3.0
701,국가작용,2.0,고발,3.0
702,외교,2.0,신속,3.0
703,붕괴,2.0,사고,3.0
704,산불예방,2.0,3년,3.0
705,구도,2.0,성향,3.0
706,과거사,2.0,본인,3.0
707,해법,2.0,스스로,3.0
708,십상,2.0,사진,3.0
709,지역화폐,2.0,유정복,3.0
710,반대표,2.0,서울고법,3.0
711,도출,2.0,겸허,3.0
712,리더십,2.0,직속,3.0
713,현명,2.0,감당,3.0
714,흐름,2.0,규칙,3.0
715,상정,2.0,브리핑,3.0
716,초래,2.0,5%,3.0
717,상임위원회,2.0,법안,3.0
718,오동훈,2.0,합류,3.0
719,통상전쟁,2.0,고용,3.0
720,복지위,2.0,10일,3.0
721,회의실,2.0,캠프,3.0
722,밀착,2.0,기록,3.0
723,언론,2.0,지난주,3.0
724,공개적,2.0,계파,3.0
725,박상수,2.0,사실상,3.0
726,보루,2.0,완전국민경선,3.0
727,의회,2.0,압박,3.0
728,내란공동체,2.0,덤터기,3.0
729,외교정책들,2.0,외교,3.0
730,행보,2.0,반국가세력,3.0
731,온몸,2.0,진짜,3.0
732,여가위,2.0,태도,3.0
733,불식,2.0,자들,3.0
734,세이브코리아,2.0,청년세대,3.0
735,교체,2.0,세월,3.0
736,물리,2.0,나경원,3.0
737,조국혁신당,2.0,표명,3.0
738,폭거,2.0,김동연,3.0
739,타협,2.0,연속,3.0
740,상호이해,2.0,낯짝,3.0
741,3%,2.0,실패,3.0
742,국민대회,2.0,시나리오,3.0
743,외부,2.0,위임,3.0
744,고위공직자범죄수사처,2.0,기자간담회,3.0
745,나락,2.0,해제,3.0
746,부총리,2.0,불참,3.0
747,민주적,2.0,협상,3.0
748,85.10%,2.0,근무제,3.0
749,동참,2.0,수괴,3.0
750,연말,2.0,보수정당,3.0
751,취득,2.0,강요,3.0
752,연계,2.0,은퇴,3.0
753,홈페이지,2.0,19일,3.0
754,이송,2.0,반복적,3.0
755,일본,2.0,전원,3.0
756,회복력,2.0,미안,3.0
757,처단,2.0,무당,3.0
758,7명,2.0,사용,3.0
759,노종면,2.0,차지,3.0
760,2022년,2.0,탈락,3.0
761,좌절감,2.0,민주,3.0
762,자중,2.0,공직자,3.0
763,헌법기관,2.0,대진표,3.0
764,지지도,2.0,일본,3.0
765,악화,2.0,선진국,3.0
766,초기,2.0,불가능,3.0
767,폭동,2.0,취재,3.0
768,부당,2.0,제도,3.0
769,징계,2.0,참석,3.0
770,요청,2.0,의결,3.0
771,대리인들,2.0,국민경선,3.0
772,행정부,2.0,일선,3.0
773,국제,2.0,천명,3.0
774,광화문,2.0,정몽준,3.0
775,일정,2.0,해산,3.0
776,양측,2.0,리더십,3.0
777,군대,2.0,동지,3.0
778,조금,2.0,지도자,3.0
779,실제,2.0,관리,3.0
780,장외집회,2.0,이탈표,3.0
781,불법계엄,2.0,예비,3.0
782,국회의원,2.0,헌정질서,3.0
783,박대출,2.0,죗값,3.0
784,뿌리,2.0,기대치,3.0
785,도리,2.0,골자,3.0
786,진전,2.0,검사,3.0
787,국제기구,2.0,말싸움,3.0
788,초청,2.0,26일,3.0
789,국익,2.0,부탁,3.0
790,우위,2.0,반감,3.0
791,사고,2.0,합의체,3.0
792,불참,2.0,확대,3.0
793,5당,2.0,주력,3.0
794,평안,2.0,직시,3.0
795,보고서,2.0,참정권,3.0
796,정국,2.0,응답,3.0
797,사람들,2.0,참사,3.0
798,진종오,2.0,현실,3.0
799,시정잡배,2.0,책임감,3.0
800,자극적,2.0,재난,3.0
801,자극,2.0,대구시당,3.0
802,감당,2.0,YTN,3.0
803,제공자,2.0,시선,3.0
804,선고일,2.0,주도,3.0
805,전원일치,2.0,오래전,3.0
806,법관,2.0,1월,3.0
807,브리핑,2.0,활용,3.0
808,배낙호,2.0,국민통합,3.0
809,대외,2.0,근로,3.0
810,인터넷,2.0,박근혜,3.0
811,70.21%,2.0,10명,3.0
812,기본소득,2.0,정보,3.0
813,빈곤,2.0,이승만,3.0
814,친명,2.0,보수층,3.0
815,방명록,2.0,특혜,3.0
816,기조,2.0,의식,3.0
817,개헌안,2.0,안중,3.0
818,경고,2.0,배수진,3.0
